,Title,Location,Price,Details,city_Abbottabad,city_Abdul_Hakim,city_Ahmedpur_East,city_Islamabad,city_Karachi,city_Lahore,city_Rawalpindi
80,Park Street Front Open 7 Marla Used House for Sale,"Bahria Town Phase 8 - Abu Bakar Block, Bahria Town Phase 8 - Safari Valley",0.0003052805280528053,"Park Street 
Front Open 
Most Prime",0,0,0,0,0,0,1
81,7 mrla brand new double unit house available for sale in usman block phase 8,"Bahria Town Phase 8 - Usman Block, Bahria Town Phase 8 - Safari Valley",0.02392739273927393,7 mrla brand new double unit house,0,0,0,0,0,0,1
82,5 mrla brand new single unit house available for sale in phase 8 ali block,"Bahria Town Phase 8 - Ali Block, Bahria Town Phase 8 - Safari Valley",0.053630363036303634,5 mrla brand new single unit house,0,0,0,0,0,0,1
83,1 Kanal And 5 Marla Luxury House In Bahria Town,"Bahria Town Phase 3, Bahria Town Rawalpindi",0.0,1 kanal and 5 Marla beautiful House,0,0,0,0,0,0,1
84,"Flat For sale In Rs. 31,500,000","Askari 14, Rawalpindi",0.0,3 bed SOUTH FACING FLAT FOR SALE As,0,0,0,0,0,0,1
85,Park Face 25 Marla House With Large Decorated Lawn And Huge Car Porch,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.009900990099009901,Amazing House With Simple And Decen,0,0,0,0,0,0,1
86,8 Marla Corner 5 Bed Double Unit House Near To Park,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",0.012376237623762377,Map Of The House Designed Ideally F,0,0,0,0,0,0,1
87,10 Marla Double Story House Available For Sale In The Heart Of Media Town Block D,"Media Town, Rawalpindi",0.0,Experience luxurious living in this,0,0,0,0,0,0,1
88,Boulevard Back 12.5 Marla Double Unit Lawn House For Sale,"Bahria Town Phase 8 - Block B, Bahria Town Phase 8",0.0,12.5 Marla Boulevard back Beautiful,0,0,0,0,0,0,1
89,Boulevard Facing 02 Bed Apartment For Sale,"Bahria Spring North, Bahria Town Phase 7",0.0,"Bahria Town Phase 07 
Spring North",0,0,0,0,0,0,1
90,Front Open One Bed Apartment For Sale With Gas,"Hub Commercial, Bahria Town Phase 8 - Safari Valley",0.0,"Bahria Town Phase 08 
Hub Commercia",0,0,0,0,0,0,1
91,02 Bed Family Apartment For sale,"Bahria Business District, Bahria Town Phase 8",0.0006188118811881188,"Bahria town phase 8 Islamabad. 
Pri",0,0,0,0,0,0,1
92,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.00033003300330033004,"MBS REAL ESTATE &amp; BUILDERS

Nic",0,0,0,0,0,0,1
93,7 marla fully renovated like Brand new & Gass installed for sale in bahria town phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0007013201320132013,"MBS REAL ESTATE &amp; BUILDERS

Nic",0,0,0,0,0,0,1
94,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"MBS REAL ESTATE &amp; BUILDERS

Nic",0,0,0,0,0,0,1
95,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.037128712871287134,"Designer House For Sale
At The Cent",0,0,0,0,0,0,1
96,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Designer House For Sale
At The Cent",0,0,0,0,0,0,1
97,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Designer House For Sale
At The Cent",0,0,0,0,0,0,1
98,2 Bed Apartment for Sale On 3rd Floor in Rafi commercial in Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"MBS REAL ESTATE &amp; BUILDERS 
Eve",0,0,0,0,0,0,1
99,2 Bed Apartment For Sale On 2nd Floor in Bahria Spring North Phase 7,"Bahria Spring North, Bahria Town Phase 7",0.004125412541254126,"MBS REAL ESTATE &amp; BUILDERS 
Eve",0,0,0,0,0,0,1
100,2 Kanal 10 Marla Farm House Is Available For Sale In Police Officers Colony Abbottabad,"Police Officers Colony, Abbottabad",0.012376237623762377,2 Kanal 10 Marla Farm House Is Avai,1,0,0,0,0,0,0
101,Hotel suit apartment for sale on 3 years instalment plan,"Kuzagali, Abbottabad",0.0005610561056105611,Hotel suit apartment for sale on 3,1,0,0,0,0,0,0
102,7 Marla House,"Maira Muzzafar, Abbottabad",0.0003712871287128713,7 Marla single story house located,1,0,0,0,0,0,0
103,4500 Square Feet House For Sale In Habibullah Colony,"Habibullah Colony, Abbottabad",0.0,Kanal House for sale located at Hab,1,0,0,0,0,0,0
104,Luxury 3 Bedroom Apartment Is Available on Easy Installment Plan in Nathia Gali,"Nathia Gali, Abbottabad",0.02887788778877888,*Pine Rock Apartments A marvel of c,1,0,0,0,0,0,0
105,House for sale,"Gulfam Town Society, Abbottabad",0.0007920792079207921,7.85 Marla newly constructed house,1,0,0,0,0,0,0
106,One Bed Studio Apartment On Installments In Khaira Gali Murree,"Khaira Gali, Abbottabad",0.0,We are offering service apartments,1,0,0,0,0,0,0
107,4 Marla Single Storey House,"Thanda Choha, Abbottabad",0.0,4 Marla single Storey House for sal,1,0,0,0,0,0,0
108,5 Marla Single Storey House,"Bilal Town, Abbottabad",0.0,5 Marla single Storey House for sal,1,0,0,0,0,0,0
109,22 Marla House for sale,"Usmanabad, Abbottabad",0.0006188118811881188,22 Marla house for sale. Corner plo,1,0,0,0,0,0,0
110,6.5 Marla House,"Murree Road, Abbottabad",0.0,6.5 Marla house for sale located at,1,0,0,0,0,0,0
111,7 Marla double story house for sale,"Javaid Shahid Road, Abbottabad",0.0,7 Marla double story house located,1,0,0,0,0,0,0
112,Amazing Designer House Is Available At Very Out Class Location Kaghan Colony Mandian Abbottabad.,"Kaghan Colony, Abbottabad",0.020627062706270627,Amazing designer house is available,1,0,0,0,0,0,0
113,8 Marla House Available For Sale At Kala Pul Abbottabad,"Karakoram Highway, Abbottabad",0.036303630363036306,8 Marla House Available For Sale At,1,0,0,0,0,0,0
114,4 Marla House for sale,"Maira Muzzafar, Abbottabad",0.0,4 Marla single story house located,1,0,0,0,0,0,0
115,5 Marla House for sale,"Others, Abbottabad",0.0,5 Marla single story house located,1,0,0,0,0,0,0
116,House for sale,"Small Industry Road, Abbottabad",0.0007425742574257426,6.5 Marla double story house locate,1,0,0,0,0,0,0
117,"Khaira Gali-a Place Where You Find Your Peace, Most Stunning Views And Architecture Flat For Sale","Khaira Gali, Abbottabad",0.0006600660066006601,UNITY ESTATES presenting yet anothe,1,0,0,0,0,0,0
118,House For sale In Gohar Ayub Town Gohar Ayub Town,"Gohar Ayub Town, Abbottabad",0.0,A House like this can be hard to co,1,0,0,0,0,0,0
