,Title,Location,Price,Details,city
85,Park Face 25 Marla House With Large Decorated Lawn And Huge Car Porch,"Bahria Town Phase 8, Bahria Town Rawalpindi",120000000.0,Amazing House With Simple And Decen,Rawalpindi
86,8 Marla Corner 5 Bed Double Unit House Near To Park,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",150000000.0,Map Of The House Designed Ideally F,Rawalpindi
87,10 Marla Double Story House Available For Sale In The Heart Of Media Town Block D,"Media Town, Rawalpindi",0.0,Experience luxurious living in this,Rawalpindi
88,Boulevard Back 12.5 Marla Double Unit Lawn House For Sale,"Bahria Town Phase 8 - Block B, Bahria Town Phase 8",0.0,12.5 Marla Boulevard back Beautiful,Rawalpindi
89,Boulevard Facing 02 Bed Apartment For Sale,"Bahria Spring North, Bahria Town Phase 7",0.0,"Bahria Town Phase 07 
Spring North",Rawalpindi
90,Front Open One Bed Apartment For Sale With Gas,"Hub Commercial, Bahria Town Phase 8 - Safari Valley",0.0,"Bahria Town Phase 08 
Hub Commercia",Rawalpindi
91,02 Bed Family Apartment For sale,"Bahria Business District, Bahria Town Phase 8",7500000.0,"Bahria town phase 8 Islamabad. 
Pri",Rawalpindi
92,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",4000000.0,"MBS REAL ESTATE &amp; BUILDERS

Nic",Rawalpindi
93,7 marla fully renovated like Brand new & Gass installed for sale in bahria town phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",8500000.0,"MBS REAL ESTATE &amp; BUILDERS

Nic",Rawalpindi
94,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"MBS REAL ESTATE &amp; BUILDERS

Nic",Rawalpindi
95,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",450000000.0,"Designer House For Sale
At The Cent",Rawalpindi
96,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Designer House For Sale
At The Cent",Rawalpindi
97,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Designer House For Sale
At The Cent",Rawalpindi
98,2 Bed Apartment for Sale On 3rd Floor in Rafi commercial in Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"MBS REAL ESTATE &amp; BUILDERS 
Eve",Rawalpindi
99,2 Bed Apartment For Sale On 2nd Floor in Bahria Spring North Phase 7,"Bahria Spring North, Bahria Town Phase 7",50000000.0,"MBS REAL ESTATE &amp; BUILDERS 
Eve",Rawalpindi
100,2 Kanal 10 Marla Farm House Is Available For Sale In Police Officers Colony Abbottabad,"Police Officers Colony, Abbottabad",150000000.0,2 Kanal 10 Marla Farm House Is Avai,Abbottabad
101,Hotel suit apartment for sale on 3 years instalment plan,"Kuzagali, Abbottabad",6800000.0,Hotel suit apartment for sale on 3,Abbottabad
102,7 Marla House,"Maira Muzzafar, Abbottabad",4500000.0,7 Marla single story house located,Abbottabad
103,4500 Square Feet House For Sale In Habibullah Colony,"Habibullah Colony, Abbottabad",0.0,Kanal House for sale located at Hab,Abbottabad
104,Luxury 3 Bedroom Apartment Is Available on Easy Installment Plan in Nathia Gali,"Nathia Gali, Abbottabad",350000000.0,*Pine Rock Apartments A marvel of c,Abbottabad
105,House for sale,"Gulfam Town Society, Abbottabad",9600000.0,7.85 Marla newly constructed house,Abbottabad
106,One Bed Studio Apartment On Installments In Khaira Gali Murree,"Khaira Gali, Abbottabad",0.0,We are offering service apartments,Abbottabad
107,4 Marla Single Storey House,"Thanda Choha, Abbottabad",0.0,4 Marla single Storey House for sal,Abbottabad
108,5 Marla Single Storey House,"Bilal Town, Abbottabad",0.0,5 Marla single Storey House for sal,Abbottabad
109,22 Marla House for sale,"Usmanabad, Abbottabad",7500000.0,22 Marla house for sale. Corner plo,Abbottabad
110,6.5 Marla House,"Murree Road, Abbottabad",0.0,6.5 Marla house for sale located at,Abbottabad
111,7 Marla double story house for sale,"Javaid Shahid Road, Abbottabad",0.0,7 Marla double story house located,Abbottabad
112,Amazing Designer House Is Available At Very Out Class Location Kaghan Colony Mandian Abbottabad.,"Kaghan Colony, Abbottabad",250000000.0,Amazing designer house is available,Abbottabad
113,8 Marla House Available For Sale At Kala Pul Abbottabad,"Karakoram Highway, Abbottabad",440000000.0,8 Marla House Available For Sale At,Abbottabad
114,4 Marla House for sale,"Maira Muzzafar, Abbottabad",0.0,4 Marla single story house located,Abbottabad
115,5 Marla House for sale,"Others, Abbottabad",0.0,5 Marla single story house located,Abbottabad
116,House for sale,"Small Industry Road, Abbottabad",9000000.0,6.5 Marla double story house locate,Abbottabad
117,"Khaira Gali-a Place Where You Find Your Peace, Most Stunning Views And Architecture Flat For Sale","Khaira Gali, Abbottabad",8000000.0,UNITY ESTATES presenting yet anothe,Abbottabad
118,House For sale In Gohar Ayub Town Gohar Ayub Town,"Gohar Ayub Town, Abbottabad",0.0,A House like this can be hard to co,Abbottabad
119,Get In Touch Now To Buy A House In Officers Colony,"Officers Colony, Abbottabad",820000000.0,Whatever kind of House you are look,Abbottabad
120,10 Marla House In Central Habibullah Colony For sale,"Habibullah Colony, Abbottabad",0.0,House comes with different bedroom,Abbottabad
121,Well-constructed House Available For Sale In Supply,"Supply, Abbottabad",0.0,Know that this House right here is,Abbottabad
122,Ready To Buy A House In Bilal Town Bilal Town,"Bilal Town, Abbottabad",0.0,"Of course, if you're looking for Ho",Abbottabad
123,Ready To Buy A House 8 Marla In Jhangi Syedan,"Jhangi Syedan, Abbottabad",0.0,A House that is located in the prim,Abbottabad
124,Double Storey House Available For Sale,"Supply, Abbottabad",0.0,Double Storey House Available For s,Abbottabad
125,A Good Option For Sale Is The House Available In Others In Alipur,"Abdul Hakim, Punjab",0.0,A high-end property for sale doesn',Abdul_Hakim
126,Your Dream Prime Location 15 Marla House Is Available In Abdul Hakim,"Abdul Hakim, Punjab",0.0,This House available for sale is pe,Abdul_Hakim
127,5 Marla House Is Available In location,"Abdul Hakim, Punjab",300000000.0,Want the perfect space and a good b,Abdul_Hakim
128,gharrr,"Abdul Hakim, Punjab",0.0,gharrrr,Abdul_Hakim
129,Great Opportunity For You To Have The Property Of Your Choice,"Abdul Hakim, Punjab",750000000.0,"Block BB
Garage
Good Location. 
Rea",Abdul_Hakim
130,5 Marla House Is Available For Sale In location,"Abdul Hakim, Punjab",0.0,This House in Abdul Hakim is no les,Abdul_Hakim
131,1 Kanal House For Sale In Abdul Hakim,"Abdul Hakim, Punjab",0.0,The House has a state of the art ar,Abdul_Hakim
132,6 Marla ka acha plot,"Abdul Hakim, Punjab",0.0,If you're looking for 6 Marla prope,Abdul_Hakim
133,test 1.04p,"Abdul Hakim, Punjab",3400000.0,erwe,Abdul_Hakim
134,test Junaid 12,"Abdul Hakim, Punjab",12120000000.0,"large number of images test, more t",Abdul_Hakim
135,Test Junaid,"Abdul Hakim, Punjab",233200000.0,"This is test listing, required no",Abdul_Hakim
136,Test area unit nine,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
137,Test area unit nine,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
138,Test area unit eight,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
139,Test area unit seven,"Abdul Hakim, Punjab",250000000.0,This is area unit,Abdul_Hakim
140,Test area unit six,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
141,Test area unit five,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
142,Test area unit five,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
143,Test area unit four,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
144,Test area unit three,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
145,Test area unit 2,"Abdul Hakim, Punjab",1100000.0,This is area unit,Abdul_Hakim
146,Test area unit one,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
147,5 Marla House For Sale In Others,"Others, Alipur",2500000.0,This listing from Others is perfect,Ahmedpur_East
148,home,"Rajput Colony, Alipur",8000000.0,Ne,Ahmedpur_East
149,House For Sale,"Alipur, Punjab",0.0,"House For Sale 
Best option for liv",Ahmedpur_East
150,House For Sale In Alipur Near Rashid Minhas Hss Alipur,"Others, Alipur",0.0,Take a decision today to own your H,Ahmedpur_East
151,urgent sale 4 marla house,"Alipur - Uch Sharif Road, Alipur",4200000.0,4 marla house urgent sale The Best,Ahmedpur_East
152,House For Sale In Alipur - Uch Sharif Road Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",4600000.0,Here's the tactfully chosen House f,Ahmedpur_East
153,House For Sale Situated In Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",3800000.0,Irresistible House for sale with un,Ahmedpur_East
154,10 Marla Constructed House In Uch Shareef City,"Alipur - Uch Sharif Road, Alipur",4000000.0,"6 Rooms. 
1 washroom. 
1 Kitchen.",Ahmedpur_East
155,Ideally Located House For Sale In Alipur - Uch Sharif Road Available,"Alipur - Uch Sharif Road, Alipur",6500000.0,A 6-marla Furnished House Having 3,Ahmedpur_East
156,5 Marla Double Storey House For Sale,"Sabtain Town, Alipur",4200000.0,5 Marla Double Story House For Sale,Ahmedpur_East
157,House For Sale In Gujjar Chowk Alipur,"Others, Alipur",8500000.0,10 Marla House For Sell Double Stor,Ahmedpur_East
158,1350  Square Feet House For Sale In Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",6500000.0,A 6-Marla Furnished House is for Sa,Ahmedpur_East
159,Selling House Ground Plus One Furnished Argent Sale Contact,"Alipur - Uch Sharif Road, Alipur",3800000.0,House For Sale Ground Plus One 10 M,Ahmedpur_East
160,House For Sale In Alipur Nearby To Kalma Chowk And Schools,"Others, Alipur",0.0,"Newly built 2017 house for sale. 
S",Ahmedpur_East
161,6 Marla House For Sale,"Alipur - Uch Sharif Road, Alipur",0.0,"Luxury house for sale
3 bedroom, 3",Ahmedpur_East
162,House For Sale With 4 Streets Around In Main Market  Shah Faisal Chowk Alipur,"Others, Alipur",0.0,Golden Place With 4 Streets Around,Ahmedpur_East
163,5 Marla Corner House For Sale,"Rajput Colony, Alipur",0.0,"Good Location. 
Reasonable Price.",Ahmedpur_East
164,5 Marla House For Sale,"Rajput Colony, Alipur",5000000.0,"House for sale
Corner Location 


N",Ahmedpur_East
165,10 marla,"Rajput Colony, Alipur",0.0,wants to,Ahmedpur_East
166,5 Marla Well Furnished House Is Available For Sale In Rajput Colony Alipur,"Rajput Colony, Alipur",9000000.0,Purchase your property today to sec,Ahmedpur_East
167,House Is Available For Sale,"Rajput Colony, Alipur",9000000.0,"New House Is Available For Sale  
A",Ahmedpur_East
168,10 Marla House Is Available For Sale,"Rajput Colony, Alipur",9500000.0,10 Marla House Is Available For Sal,Ahmedpur_East
169,Alipur Uch Sharif Road House For Sale Sized 4500 Square Feet,"Alipur - Uch Sharif Road, Alipur",0.0,Check Out Our Offer For The Best Ho,Ahmedpur_East
170,test listing junaid 2,"Alipur, Punjab",210000000.0,this is test listing for,Ahmedpur_East
171,test listing junaid 2,"Alipur, Punjab",210000000.0,this is test listing for,Ahmedpur_East
